userId,itemId,categoryId,behavior,timestamp
543462,1715,1464116,pv,2017-11-26 09:00:00
662867,2244074,1575622,pv,2017-11-26 09:00:00
561558,3611281,965809,pv,2017-11-26 09:00:00
894923,3076029,1879194,pv,2017-11-26 09:00:00
834377,4541270,3738615,pv,2017-11-26 09:00:00
315321,942195,4339722,pv,2017-11-26 09:00:00
625915,1162383,570735,pv,2017-11-26 09:00:00
578814,176722,982926,pv,2017-11-26 09:00:00
873335,1256540,1451783,pv,2017-11-26 09:00:00
429984,4625350,2355072,pv,2017-11-26 09:00:00
866796,534083,4203730,pv,2017-11-26 09:00:00
937166,321683,2355072,pv,2017-11-26 09:00:00
